Group,x,y,t,s
P,-8.039588612,178.962062,1,0
O,-14.17579173,128.268554,0,0
M,28.53014375,-297.1024237,0,1
P,9.683130894,73.19658907,0,1
P,31.39928658,14.23110618,0,1
N,35.28993913,-415.0357152,0,0
P,2.737219517,335.3753188,1,1
N,22.02012003,-264.7364334,0,0
O,-15.03739689,116.5465297,0,0
P,44.96338821,-0.639011085,0,0
M,2.953767055,-327.7075698,0,1
P,-9.190474561,36.03826965,1,0
N,10.7353286,-514.1083913,0,1
M,37.35310517,-145.4575769,0,0
N,34.34264727,-296.7730268,0,1
M,20.71895255,-321.6034594,0,1
N,-5.265274305,-132.1754898,0,0
P,20.74793832,231.6330505,1,1
M,23.86739731,-396.1189073,0,0
P,0.792079932,10.69726988,1,0
O,-12.08210251,264.229958,0,1
M,30.69901969,-343.1405963,0,1
N,12.8026972,-450.4360993,1,0
O,-11.86055065,234.9421667,0,0
M,2.165241151,-227.5276405,0,0
O,-12.4295633,170.0815172,0,0
O,-8.83841087,8.383635422,0,1
M,7.165562161,-228.1138964,0,0
M,7.746867107,-169.9354099,0,0
P,-1.794813877,-29.14068181,1,1
N,18.19855568,-511.773972,0,1
O,-22.74212269,347.1215186,0,1
O,4.087795901,347.3153069,0,1
M,22.95148878,-202.2781646,0,0
P,-23.92547749,-131.4100746,1,1
M,12.79279473,-156.1077273,0,1
N,27.30597581,-387.0453862,0,1
O,-12.7841374,238.7662324,0,1
M,19.11477554,-463.9693327,0,1
O,-14.16147533,393.9162996,0,1
O,-29.40204317,74.89929921,0,0
M,16.07814071,-171.904227,0,0
P,29.58980028,-91.91664131,0,1
N,24.28622814,-211.8321907,0,0
P,27.31813202,39.8689463,1,1
P,-1.915864152,-14.04016384,1,1
O,9.090699582,620.8376884,0,0
M,38.99203173,-389.1188146,0,1
P,32.01737797,-172.1875448,0,0
N,29.68989106,-635.7682208,0,0
P,-17.75903178,-146.301466,1,0
M,12.77796204,-34.97707694,0,0
P,24.46371984,-262.1187222,1,1
O,1.521507133,115.2298058,0,1
N,-2.127777475,-145.2721235,0,0
P,-3.549098994,-28.36948448,1,0
M,22.37720464,-254.7949758,0,0
N,48.91333547,-424.288349,0,0
P,36.02410093,145.5907533,1,0
P,15.61048984,63.68615812,0,1
P,-11.18823982,-59.23095328,1,1
P,-12.33725225,-299.4132916,0,1
P,50.81021137,2.951249596,1,0
O,-12.11368039,250.8175509,0,1
O,-10.65983481,91.4409598,0,1
N,50.78054964,-662.3720941,0,0
O,2.053878825,113.4254073,0,1
M,22.85124217,-281.5137071,0,1
N,22.84839099,-632.2562908,0,1
M,16.78430745,-463.5840058,0,0
P,-2.488380073,109.6245882,1,1
P,-1.033453004,6.369428477,1,0
O,-18.18892829,119.3072682,0,0
P,19.89845536,-75.31411577,1,0
M,7.458847921,-107.2415803,0,0
O,9.495095337,419.9469829,0,1
O,-41.2679913,166.2927086,0,0
P,26.11200736,-12.33657541,1,0
O,-22.76896308,111.3619345,0,1
O,-8.252433145,300.915061,0,0
N,40.36131372,-224.0030601,0,1
M,15.37189849,-191.7005064,0,0
M,0.551096918,95.74207394,0,1
P,-6.341588748,-198.4852377,0,0
P,62.69664303,-297.0256119,1,0
O,-17.44444639,380.8593818,0,1
M,13.54897744,-619.3762194,0,0
M,8.04718355,-417.2750175,0,1
M,18.26999341,-179.0593875,0,1
M,13.15721,-339.3114492,0,1
P,36.29085117,-101.5511992,1,1
M,9.346519107,-430.0476348,0,0
N,10.90814928,-110.9049487,0,1
N,18.12388182,-266.4433999,0,1
N,9.403144273,-460.0583129,0,0
P,-30.65455675,-183.1296414,1,1
O,-18.08880299,238.0178601,0,0
O,-2.151284706,-52.21502558,0,1
M,25.37741938,-205.694481,0,1
M,15.96821593,-178.6514704,0,0
N,6.139158213,-326.5875637,0,0
P,50.40086526,20.50532762,1,1
M,28.03750178,-384.487165,0,0
N,8.62274033,-465.7382931,0,1
O,-14.93888899,175.3905163,0,1
M,9.667317771,-353.7201159,0,0
P,-18.14262152,-138.1502408,0,1
O,-25.13447153,266.2581697,0,1
P,-19.22238123,-188.2361949,1,1
P,58.36795459,-214.010801,1,0
M,-3.558785623,-187.6370964,0,0
M,25.88924978,-147.3778867,0,0
P,29.50920057,-139.6969545,1,0
N,37.41067939,-265.0963693,0,0
P,25.21145639,-187.9712533,0,0
O,2.83491777,450.6445593,0,1
P,46.32623454,-292.1387623,1,0
P,-9.18091943,-152.4184393,1,1
N,18.03611082,-416.4203115,0,1
O,-4.644332519,480.0250374,0,0
P,12.14630327,72.51148709,0,1
M,38.29970509,-366.1127259,0,1
O,-4.542441701,129.4081293,0,1
M,14.19291586,-130.8208801,0,0
P,-1.127349204,76.08819305,1,1
O,-25.19096402,57.76503738,0,1
N,21.28566338,-548.4739412,0,0
N,5.20168414,-184.422376,0,1
P,14.8177073,120.0898937,1,1
O,-11.10562845,241.4624382,0,0
O,-20.57670824,137.0001605,0,0
P,8.156704188,-308.4331602,0,1
M,4.200164293,74.98152656,0,0
M,2.467827364,-202.2343969,0,0
M,16.23043104,-69.86174759,0,0
P,17.61668332,-143.4514843,1,0
P,-1.018044651,-303.2491255,1,1
M,16.21774399,-397.3327884,0,1
P,23.67173691,-152.8433503,1,0
M,5.169583967,-322.4319096,0,1
N,14.56472091,-304.735256,0,1
O,-3.937057283,344.0953471,0,1
M,10.10742865,-448.1300303,0,1
O,-24.05276611,269.4581811,0,1
O,-13.53442142,-89.59750252,0,1
P,1.948211903,-244.196342,0,0
M,33.13161603,-202.6837282,0,0
N,13.68232339,-356.1521279,0,1
M,7.49546584,-164.8544214,0,0
M,17.06961101,-87.8107562,0,0
P,14.04701874,-59.70260876,0,1
P,43.06991845,-226.4038613,1,0
P,-17.98548276,-273.130358,1,1
M,16.60325713,-57.51174091,0,0
P,7.547134468,48.58211123,1,1
P,23.68476341,-95.03263058,1,0
N,23.2322324,-398.3319255,0,0
P,-0.490508612,-63.76790473,1,1
P,34.38297306,21.37363831,1,1
N,24.36091598,-491.4969207,0,0
P,3.089833379,-211.0547397,1,1
N,58.31619566,-386.1355531,0,0
P,12.64258213,-252.3409245,0,1
M,25.04121892,-43.57581248,0,0
O,-11.26050077,400.3647272,0,1
O,-0.873759959,498.4303488,0,1
O,2.515552356,148.2804258,0,0
N,21.63506314,-527.4634157,0,0
O,-7.467152322,191.3866047,0,1
O,-32.67563173,-16.00801108,0,0
N,35.9467642,-324.517405,0,0
O,0.933376562,368.8671864,0,0
P,45.94107305,-219.2390321,1,0
N,3.692269929,-335.5848244,0,1
P,32.85024861,-94.99540955,1,0
O,-26.20402963,32.05167618,0,0
O,-17.19426729,-88.4242331,0,1
P,13.95784744,-131.9233881,1,1
P,-1.262452892,130.6694483,1,0
P,4.476421795,-66.83374032,0,1
P,13.50930842,-32.5444017,0,1
P,56.73510204,5.500665168,1,1
P,-22.48899108,15.43903125,1,0
M,12.05494853,-372.0615241,0,1
O,-10.34853532,179.3828098,0,0
O,-17.02188618,-10.4812839,0,0
M,23.06911102,-422.8218315,0,0
O,3.535421626,198.1884745,0,1
M,20.10976296,-358.4950314,0,0
N,20.10834766,-511.6437884,0,1
M,12.71587949,-124.4916842,0,0
M,11.73089414,-470.5849438,0,1
M,13.68625762,-95.20239082,0,0
O,-1.820911607,218.3857818,0,0
P,0.361139962,236.6621494,1,1
P,-11.18689931,-51.1849921,0,0
O,18.97643668,388.2941036,0,1
N,26.26891854,-137.3099149,0,1
O,-11.986031,318.1273015,0,1
M,22.45500917,-320.8037716,0,0
P,63.3344292,-244.4673325,1,0
M,16.64725613,-456.1814813,0,1
P,-17.28014378,-22.52649638,1,1
M,17.64862242,-550.721808,0,0
M,31.25299461,-383.581049,0,1
O,-21.8504742,47.6397223,0,1
O,-13.77092744,238.4681272,0,0
N,3.730366699,-332.3575782,0,0
M,30.22986698,-403.0864864,0,0
N,36.45838401,-461.5122593,0,1
M,14.41959287,-402.6742444,0,0
P,8.063914415,-73.76867492,0,0
M,7.659909639,-168.1339379,0,1
P,13.10451547,32.4015184,0,0
N,1.359567544,-382.2792916,0,1
O,-11.90749336,233.7736288,0,1
M,21.06586289,-407.6931944,0,0
P,33.74720877,25.83585245,1,0
M,26.40930303,-53.47973881,0,1
N,38.00656658,-351.100557,0,0
N,30.79645823,-254.8087979,0,0
N,13.05850042,-343.9359451,0,1
M,21.06753068,-400.9328119,0,0
O,-22.84105302,-123.6981621,0,0
N,17.30802598,-285.8485263,0,1
O,-10.67526386,418.3718982,0,0
P,-7.387225956,-171.0233515,1,0
N,24.30700006,-245.7347061,0,0
M,28.10646573,-255.8430851,0,1
P,37.46867813,-310.7795251,1,1
M,1.046098446,-32.64995619,0,1
M,4.904697364,-260.7896812,0,1
O,-20.35768941,156.4014659,0,0
M,28.8845083,-389.3242509,0,1
P,26.55216989,-170.3555122,1,0
P,-13.04516812,160.9903793,1,0
M,23.12737926,-199.2642369,0,0
M,0.189859751,-212.0230784,0,0
O,-5.56261419,271.1120654,0,0
O,-12.69388662,164.6368107,0,1
P,17.26725668,-4.641514718,1,1
N,28.62809214,-248.3277732,0,1
P,27.77772516,-285.7288793,1,0
O,-37.22376691,-42.71786278,0,1
M,3.735356733,-9.587627363,0,1
P,39.3123223,95.00407085,1,1
M,14.83749298,-108.9740945,0,1
M,23.94070541,-285.702911,0,0
M,26.73096401,-512.100783,0,0
P,-29.44934528,-143.9855907,1,1
P,27.30708076,31.54016259,0,0
P,59.43841235,3.251372021,1,1
P,5.285093282,-266.3566093,1,1
N,37.50996842,-224.327483,0,1
N,28.23811116,-371.4392713,0,0
O,-11.08762588,110.9972067,0,1
P,-2.94232313,-164.0071278,1,1
P,-5.218793523,-125.4729802,1,1
P,48.04393962,65.97379707,1,1
P,5.291021739,-115.9856176,0,1
N,23.44319824,-298.3787262,0,0
P,-0.784342243,151.9024057,1,1
N,13.65159876,-372.3096019,0,1
P,10.69548989,-139.7186761,1,1
M,34.86336394,-258.7134466,0,0
O,-17.04961953,-74.90109287,0,1
M,39.44661028,-436.5842488,0,1
N,3.905355759,-443.9488578,0,0
M,23.72363932,-298.1143326,0,1
N,37.66851187,-387.3348332,0,0
O,3.003374676,386.2245271,0,1
M,-4.632063721,-36.7369997,0,1
N,29.1758493,-217.0280291,0,1
M,8.686684251,-114.2734001,0,1
N,7.957697438,-244.982593,0,1
M,24.01836667,-365.7360417,0,1
M,15.31840929,-169.3386589,0,1
N,5.805426718,-117.1490815,0,0
M,2.068150912,30.05875962,0,1
M,23.62766608,-390.9538481,0,0
N,30.35513738,-268.4327587,0,0
M,21.64281021,-322.9489103,0,0
P,45.12478033,-325.2192929,1,1
O,-23.70284968,272.3924869,0,1
P,33.3682674,-124.3502273,1,0
N,24.42212086,-197.5254568,0,1
O,-6.636804174,414.5809923,0,1
O,-0.125809804,324.8430918,0,1
M,17.78078394,-248.1745343,0,0
P,-15.51119435,-100.6274201,1,0
O,-15.20302586,151.4493049,0,0
N,9.572664651,-53.06576455,1,1
N,43.33106508,-509.9859341,0,0
O,-4.339023742,203.9012482,0,0
O,-1.255679743,125.8703247,0,0
O,-2.922371329,200.479392,0,1
O,-18.68004626,257.1859177,0,1
P,17.5980979,-94.05353803,1,0
N,27.70525995,-559.950077,0,0
O,-3.127857099,212.1309017,0,1
P,25.07438591,-71.04401324,1,0
O,-9.028873189,212.8712423,0,1
O,1.072841571,-16.92607914,0,0
P,0.496795544,40.08721972,1,1
M,7.91783297,-338.332778,0,0
N,22.57038055,-316.9980549,0,0
O,-22.27732706,-78.30453099,0,1
P,43.00936998,-314.4638396,0,1
M,8.667000184,-151.8238406,0,0
M,28.51436154,-285.7754381,0,0
P,-23.73994596,-107.5791701,1,1
P,22.39052415,60.87011756,1,1
M,20.87986141,-122.0781776,0,0
N,29.11239405,-311.201111,0,0
N,14.65620985,-197.0707604,0,1
M,12.52049382,-267.3507449,0,1
P,13.53595087,86.36686252,1,1
M,28.02321691,-180.3224706,0,1
P,-36.00335507,-6.232654891,0,0
O,-15.91324134,192.1926974,0,1
P,3.960169225,-47.08606536,1,0
O,4.939646024,319.416216,0,1
N,18.51416247,-214.989003,0,1
N,39.69158783,-369.9324416,0,0
M,8.820869228,-153.7395097,0,1
O,-14.90978727,-9.825707938,0,1
O,-0.97962138,220.2389109,1,1
M,11.62777899,-389.8581009,0,0
P,37.54926498,10.71833298,1,0
N,46.11387956,-469.9923698,0,1
O,1.06678651,263.2573435,0,0
P,34.14714987,7.612057776,1,1
P,13.82116996,-127.4481973,1,1
M,31.34336385,-365.7797195,0,1
O,-22.63669643,-94.20344942,0,0
P,-0.293495311,-149.4209844,0,0
M,38.09383179,-311.7112898,0,0
M,3.862288134,-460.3501785,0,0
M,28.6176191,-357.6593141,0,1
O,-13.25942824,-40.57094786,0,0
P,12.19353469,-28.21198021,1,0
O,-20.13911128,-84.98881836,0,1
O,-27.42732941,62.41162866,0,0
N,2.632098339,-145.9801222,0,1
M,18.68467272,-412.168756,0,1
N,26.82772103,-575.3974809,0,0
N,17.91782299,-315.6546204,0,1
N,20.92855021,-287.6364718,0,1
N,43.15371287,-639.8187492,0,1
P,8.146457483,-119.8406721,1,1
N,12.8916705,-255.1154934,0,1
O,-14.61098623,-53.39476914,0,1
P,38.99112449,126.451095,1,1
P,8.328906084,75.35843676,1,1
M,40.58537475,-155.4954682,0,1
P,-6.513218822,-89.62284913,0,1
M,20.029379,-122.5511943,0,1
O,-13.17568806,195.1288355,0,0
P,28.13413155,-114.7982835,1,1
O,-19.57820294,-160.3769287,0,0
M,27.68253179,-385.7367963,0,1
M,11.14855743,-243.9037836,0,0
P,37.77425619,122.9568565,0,0
N,2.456155225,-251.1552459,0,0
N,4.607464426,-168.2228014,0,0
N,24.40949425,-349.5337407,0,1
P,18.44836137,8.68788378,1,1
P,55.22791643,94.70512622,1,0
M,19.98415844,-344.3935884,0,0
O,-13.03319755,89.36019291,0,1
N,30.90789965,-235.098538,0,1
N,32.99591936,-439.1809335,0,0
N,22.22695949,-446.0045405,0,0
P,-23.63700313,-58.31331118,1,1
N,25.95635256,-479.2036327,0,1
M,16.48200602,-219.1004649,0,1
M,12.37174125,-91.7196666,0,1
P,2.462748545,-275.8724905,0,1
N,29.24215979,-218.1981829,0,1
M,-4.007744078,-377.2492716,0,1
P,-6.236232629,195.373428,1,0
O,1.57319886,417.9219587,0,1
M,1.060008399,-278.0621337,0,1
M,12.50170895,-126.2090275,0,1
N,18.33905569,-319.2116055,1,0
P,-18.37480847,-339.2517525,1,0
M,6.499099969,-70.62803873,0,0
M,7.697646247,-34.52545331,0,0
P,13.13554202,-88.18579397,1,1
O,-20.24732452,124.4632354,0,0
N,9.583235773,-40.66377134,0,0
N,36.18026324,-364.2544012,0,0
M,7.751874735,-190.5685537,0,1
O,0.026275602,337.8678206,0,0
N,30.69721001,-450.1847456,1,1
M,-5.860522983,-224.6879137,0,1
O,-32.79799559,73.78342422,0,1
O,-15.68018311,79.34103257,0,1
M,5.473009041,-26.99035017,0,1
P,60.14703578,-88.05730359,1,1
P,16.67980542,-104.3218262,1,0
M,3.268391441,-137.1087599,0,0
N,39.89600842,-278.955284,0,0
M,15.99913073,-367.0627758,0,0
O,-15.86266141,370.5198289,0,1
P,20.75646891,-62.7310318,1,1
O,-14.44482901,317.8347635,0,0
M,23.56229797,-325.4678092,0,1
O,-16.23767796,265.1465956,1,0
N,37.92469312,-612.9663872,0,0
M,19.09796055,-458.963896,0,0
P,2.782477005,37.1836505,1,1
M,10.06842758,-124.6377415,0,0
P,6.909043517,9.312950868,0,1
N,-8.111256024,-322.5114078,0,0
M,19.22359627,-58.52628579,0,1
M,41.91057196,-470.2110264,0,0
M,18.57724865,-184.8506598,0,1
O,-1.634750262,51.57578257,0,0
P,46.60287387,-189.8845359,1,1
O,5.02371267,286.4702397,0,1
M,37.08335754,-478.54595,0,1
M,44.21001269,-251.3855063,0,1
O,-24.16321784,69.11351832,0,0
P,0.509282286,-100.1993317,1,0
M,6.951120947,-270.3177538,0,1
N,23.5424244,-238.3788368,0,1
O,-11.00518257,141.5700857,0,0
N,10.52543211,-269.3380018,0,1
M,34.02215454,-12.87909683,0,1
N,31.17232348,-145.7015716,0,0
M,24.92331099,-342.319872,0,1
O,-17.55848196,309.2157493,0,1
M,3.581699723,-282.258143,0,0
N,11.88411785,-172.5608563,0,0
P,21.44087898,32.84147444,1,1
P,-10.68155239,90.20487591,0,0
O,-7.469636097,227.1711261,0,1
M,20.24466823,-311.090964,0,0
O,6.208383766,157.7382358,0,1
P,-1.311309207,-119.4380405,1,1
M,33.11193893,-343.4794853,0,0
P,23.35459922,-102.5298216,1,0
N,25.50241187,-299.2559912,0,1
P,15.20416241,59.14833502,1,1
O,-9.267204846,307.5182113,0,1
P,33.92139336,21.29586731,0,0
O,-13.13141969,304.9067717,0,1
N,37.02524316,-395.9076616,0,1
P,5.147865896,-79.73987373,1,1
N,16.33991691,-307.8775292,0,1
M,13.28815972,-559.8115272,0,1
M,19.17820406,-126.943929,0,1
P,34.2471429,-98.649495,1,0
N,22.40522934,-392.7190222,0,1
P,11.19839223,-241.9244446,1,1
O,-6.642056308,88.87526367,0,1
O,-1.996925558,-124.3717044,0,0
P,-22.32560642,114.351228,1,1
P,24.09755806,-190.9347061,1,1
N,33.83506427,-113.8001546,0,0
N,2.411750823,-73.98814589,0,1
P,-0.625449603,5.379526201,0,0
N,10.73483441,-517.7959132,0,1
M,16.74069519,-470.0463464,0,0
M,7.837759269,-335.6307113,0,0
O,-32.50355117,-71.00713422,0,1
N,26.15566258,-314.152566,0,1
O,-21.77863544,146.947233,0,0
P,40.88633943,-70.25242205,1,1
P,60.50388934,43.82178129,1,1
P,30.33113934,69.00412776,1,1
P,26.61766795,214.7017922,1,1
P,13.23599629,-6.234135344,1,1
O,-8.87412481,120.4508451,0,0
O,-3.540592325,109.7120466,0,1
N,11.77797432,-174.1989023,0,0
P,-34.98108144,58.25395221,0,0
N,23.52749181,-353.3852631,1,0
P,1.364764857,-46.65613484,0,1
N,13.49999786,-250.4277557,0,0
P,61.30282079,-240.6913085,1,1
O,-13.54743887,164.9816255,0,1
O,-9.686407302,90.85716813,0,1
M,6.908626419,-142.2931621,0,1
N,21.52624697,-364.9465451,0,1
M,20.8870055,-452.844944,0,1
N,11.25031056,-302.217993,0,0
N,22.81606458,-266.2123748,0,0
N,9.853792298,-58.75812864,0,0
P,-8.616322716,74.86405325,1,1
O,0.707426626,479.2547003,0,1
M,-3.201441795,-239.7183645,0,0
O,-35.00134307,9.178208045,0,0
M,13.86726601,-256.1771607,0,0
P,-12.81210967,-290.3156146,1,1
N,3.953664809,-13.22391858,0,0
O,-13.54372006,273.773377,0,1
M,24.8709098,-344.620955,0,0
M,2.016075779,-270.8508532,0,0
P,17.91345152,-157.9928646,0,0
N,41.97941852,-325.4158344,0,0
M,19.51611084,-126.5682848,0,1
O,-26.63638992,208.7373322,0,0
M,27.10858421,-342.4423724,0,1
M,19.32674619,-244.2888584,0,0
N,18.0212567,-385.4832847,0,0
O,-23.05463893,122.021843,0,1
O,-26.64517856,-165.7964374,0,0
O,-4.892885833,-14.19041914,0,1
O,-18.15218004,263.9315011,0,0
N,33.73763533,-121.7434709,0,0
M,2.082796958,-471.0609451,0,0
M,3.46582817,256.3472322,0,0
N,9.76603205,-287.6427059,1,0
P,1.520677312,-105.2947417,1,1
P,-27.53680042,-128.3431504,0,1
M,3.196676017,-25.39670801,0,0
N,19.43411723,-303.6753425,0,0
O,-13.3998017,226.8471412,0,1
M,-1.907038424,-302.3487725,0,1
M,21.35331307,-497.8547715,0,0
